Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,1980.000000,1990.000000,1850.000000,1850.000000,1850.000000,261881600
2022-06-16,1820.000000,2030.000000,1820.000000,1935.000000,1935.000000,205181200
2022-06-17,1920.000000,1920.000000,1800.000000,1815.000000,1815.000000,181825400
2022-06-20,1815.000000,1845.000000,1710.000000,1765.000000,1765.000000,252614300
2022-06-21,1770.000000,1815.000000,1730.000000,1760.000000,1760.000000,165844100
2022-06-22,1760.000000,1915.000000,1735.000000,1745.000000,1745.000000,341920400
2022-06-23,1765.000000,1770.000000,1640.000000,1680.000000,1680.000000,174472300
2022-06-24,1700.000000,1795.000000,1690.000000,1785.000000,1785.000000,170250900
2022-06-27,1790.000000,1800.000000,1670.000000,1710.000000,1710.000000,157733900
2022-06-28,1720.000000,1750.000000,1640.000000,1650.000000,1650.000000,111641300
2022-06-29,1640.000000,1675.000000,1585.000000,1595.000000,1595.000000,86990600
2022-06-30,1600.000000,1715.000000,1530.000000,1580.000000,1580.000000,150484800
2022-07-01,1580.000000,1725.000000,1550.000000,1625.000000,1625.000000,169408800
2022-07-04,1635.000000,1700.000000,1565.000000,1680.000000,1680.000000,105956400
2022-07-05,1690.000000,1785.000000,1690.000000,1725.000000,1725.000000,164133300
2022-07-06,1720.000000,1740.000000,1650.000000,1715.000000,1715.000000,83930800
2022-07-07,1720.000000,1755.000000,1680.000000,1700.000000,1700.000000,83560200
2022-07-08,1715.000000,1775.000000,1715.000000,1760.000000,1760.000000,84365300
2022-07-11,1770.000000,1770.000000,1660.000000,1675.000000,1675.000000,93675000
2022-07-12,1675.000000,1705.000000,1650.000000,1665.000000,1665.000000,93771200
2022-07-13,1675.000000,1680.000000,1575.000000,1600.000000,1600.000000,132225600
2022-07-14,1570.000000,1660.000000,1570.000000,1660.000000,1660.000000,92232200
2022-07-15,1650.000000,1650.000000,1545.000000,1545.000000,1545.000000,124427800
2022-07-18,1545.000000,1555.000000,1455.000000,1515.000000,1515.000000,140486200
2022-07-19,1515.000000,1690.000000,1515.000000,1680.000000,1680.000000,164864500
2022-07-20,1700.000000,1775.000000,1700.000000,1760.000000,1760.000000,113640100
2022-07-21,1770.000000,1795.000000,1695.000000,1710.000000,1710.000000,85039400
2022-07-22,1735.000000,1785.000000,1710.000000,1770.000000,1770.000000,95974500
2022-07-25,1780.000000,1805.000000,1740.000000,1740.000000,1740.000000,88295700
2022-07-26,1740.000000,1745.000000,1660.000000,1685.000000,1685.000000,88004500
2022-07-27,1700.000000,1730.000000,1635.000000,1670.000000,1670.000000,111318000
2022-07-28,1700.000000,1840.000000,1665.000000,1820.000000,1820.000000,172726300
2022-07-29,1850.000000,1895.000000,1810.000000,1845.000000,1845.000000,115048200
2022-08-01,1820.000000,1880.000000,1735.000000,1800.000000,1800.000000,145744000
2022-08-02,1790.000000,1800.000000,1675.000000,1675.000000,1675.000000,162043100
2022-08-03,1675.000000,1710.000000,1640.000000,1700.000000,1700.000000,115753300
2022-08-04,1710.000000,1715.000000,1640.000000,1645.000000,1645.000000,75850800
2022-08-05,1650.000000,1670.000000,1605.000000,1635.000000,1635.000000,107439800
2022-08-08,1625.000000,1650.000000,1570.000000,1620.000000,1620.000000,92528200
2022-08-09,1630.000000,1710.000000,1620.000000,1670.000000,1670.000000,97749300
2022-08-10,1680.000000,1700.000000,1620.000000,1640.000000,1640.000000,79849100
2022-08-11,1670.000000,1775.000000,1670.000000,1770.000000,1770.000000,146153900
2022-08-12,1770.000000,1835.000000,1750.000000,1805.000000,1805.000000,107787000
2022-08-15,1850.000000,1850.000000,1775.000000,1785.000000,1785.000000,73268200
2022-08-16,1785.000000,1830.000000,1720.000000,1760.000000,1760.000000,81921200
2022-08-18,1760.000000,1825.000000,1730.000000,1750.000000,1750.000000,95593000
2022-08-19,1760.000000,1810.000000,1750.000000,1760.000000,1760.000000,85755900
2022-08-22,1760.000000,1780.000000,1640.000000,1645.000000,1645.000000,100895400
2022-08-23,1635.000000,1695.000000,1635.000000,1685.000000,1685.000000,93780300
2022-08-24,1690.000000,1690.000000,1630.000000,1640.000000,1640.000000,96274400
2022-08-25,1645.000000,1655.000000,1605.000000,1625.000000,1625.000000,84460200
2022-08-26,1635.000000,1675.000000,1630.000000,1660.000000,1660.000000,75731100
2022-08-29,1660.000000,1665.000000,1605.000000,1645.000000,1645.000000,92630800
2022-08-30,1680.000000,1725.000000,1655.000000,1655.000000,1655.000000,146866200
2022-08-31,1655.000000,1720.000000,1610.000000,1715.000000,1715.000000,157331000
2022-09-01,1715.000000,1745.000000,1670.000000,1675.000000,1675.000000,89898000
2022-09-02,1675.000000,1690.000000,1635.000000,1640.000000,1640.000000,78179800
2022-09-05,1660.000000,1675.000000,1625.000000,1665.000000,1665.000000,70664000
2022-09-06,1670.000000,1745.000000,1645.000000,1655.000000,1655.000000,128021800
2022-09-07,1655.000000,1685.000000,1630.000000,1635.000000,1635.000000,132208700
2022-09-08,1645.000000,1750.000000,1630.000000,1725.000000,1725.000000,305678500
2022-09-09,1730.000000,1740.000000,1660.000000,1680.000000,1680.000000,149139800
2022-09-12,1700.000000,1725.000000,1650.000000,1705.000000,1705.000000,138129100
2022-09-13,1715.000000,1805.000000,1705.000000,1780.000000,1780.000000,193235300
2022-09-14,1780.000000,1985.000000,1725.000000,1960.000000,1960.000000,305234100
2022-09-15,1960.000000,2010.000000,1910.000000,1920.000000,1920.000000,225364000
2022-09-16,1920.000000,1920.000000,1835.000000,1860.000000,1860.000000,148362900
2022-09-19,1860.000000,1885.000000,1755.000000,1775.000000,1775.000000,154522900
2022-09-20,1780.000000,1820.000000,1760.000000,1775.000000,1775.000000,134627000
2022-09-21,1780.000000,1790.000000,1720.000000,1750.000000,1750.000000,87701400
2022-09-22,1740.000000,1915.000000,1735.000000,1895.000000,1895.000000,183158400
2022-09-23,1895.000000,1980.000000,1840.000000,1855.000000,1855.000000,224865400
2022-09-26,1805.000000,1825.000000,1735.000000,1750.000000,1750.000000,131488500
2022-09-27,1750.000000,1835.000000,1750.000000,1825.000000,1825.000000,116019300
2022-09-28,1820.000000,1825.000000,1750.000000,1750.000000,1750.000000,71592500
2022-09-29,1760.000000,1820.000000,1760.000000,1800.000000,1800.000000,104626100
2022-09-30,1800.000000,1820.000000,1740.000000,1800.000000,1800.000000,94829300
2022-10-03,1795.000000,1870.000000,1770.000000,1825.000000,1825.000000,121771500
2022-10-04,1850.000000,1885.000000,1835.000000,1875.000000,1875.000000,99087700
2022-10-05,1880.000000,1915.000000,1865.000000,1865.000000,1865.000000,69578600
2022-10-06,1865.000000,1950.000000,1860.000000,1885.000000,1885.000000,116662000
2022-10-07,1890.000000,1930.000000,1855.000000,1880.000000,1880.000000,80860700
2022-10-10,1870.000000,1885.000000,1810.000000,1830.000000,1830.000000,92593800
2022-10-11,1830.000000,1865.000000,1775.000000,1775.000000,1775.000000,74171400
2022-10-12,1775.000000,1810.000000,1730.000000,1745.000000,1745.000000,91148100
2022-10-13,1765.000000,1800.000000,1740.000000,1740.000000,1740.000000,19635600
2022-10-14,1760.000000,1780.000000,1680.000000,1710.000000,1710.000000,45111100
